sample_fp	plate	cycle	well	tile	channel
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_35_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	35	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_35_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	35	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_35_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	35	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_35_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	35	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_36_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	36	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_36_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	36	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_36_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	36	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_36_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	36	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_36_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	36	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_37_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	37	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_37_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	37	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_37_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	37	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_37_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	37	638_nm_-_A
